doc_id,claude5,docupipe_high,docupipe_standard,extend,gemini,gpt,reducto,reducto_standard,unstructured
1ZVqiyJZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0
2Kqu7k2B,0.9947552447552448,0.991841491841492,0.9982517482517481,0.8776223776223775,0.0,0.9702797202797202,0.9667832167832169,0.8682983682983683,0.9982517482517481
3VX7OcKR,0.9884335154826958,0.9986338797814209,0.9907103825136612,0.34289617486338797,0.07295081967213114,0.0,0.9744990892531876,0.9802367941712203,0.0
3cS2qu1e,0.8721138211382113,0.9442547425474253,0.941431044866004,0.7377604637157483,0.6925007527853059,0.2596031746031746,0.5523750376392652,0.5416839807286961,0.770687292984041
45xidifn,0.9063223379629631,0.9894612630208334,1.0,0.9000771604938274,0.9063223379629631,0.9063223379629631,0.9063223379629631,0.9762716411072532,0.3718638478973765
4kVtTRoL,0.9976190476190476,0.9976190476190476,1.0,0.9976190476190476,0.9976190476190476,0.9404761904761905,0.9952380952380953,0.9619047619047619,0.9976190476190476
5YJaBbNg,0.963855421686747,0.975609756097561,1.0,1.0,0.963855421686747,0.975609756097561,0.975609756097561,0.963855421686747,0.7439024390243902
5ukZftw0,0.9322033898305084,0.9661016949152542,0.9661016949152542,0.9491525423728815,1.0,1.0,1.0,1.0,1.0
62PhJTyf,1.0,1.0,1.0,1.0,1.0,0.7671232876712328,1.0,0.958904109589041,0.958904109589041
69Ny1DwE,0.45161290322580644,0.9354838709677419,0.9193548387096774,0.9193548387096774,0.8870967741935484,0.6129032258064516,0.5161290322580645,0.5161290322580645,0.22580645161290322
7ZhgzAzp,0.8571428571428571,1.0,0.8571428571428571,0.9523809523809523,1.0,1.0,0.9523809523809523,0.95,0.9523809523809523
97uZroyv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995260663507109,0.7236548647895177
9hPCh7ca,0.9279185295578735,0.9910084451068059,0.9845504222553402,0.19515648286140083,0.179806259314456,0.8456780923994017,0.8153502235469438,0.9908594138102333,0.27923497267759567
B0nA2c30,0.9565173796791445,1.0,1.0,1.0,0.921590909090909,0.793783422459893,0.9886363636363636,0.9886363636363636,0.9430147058823529
BnftpXVQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96
C7fe2lau,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9565217391304348
DtfW60lS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
ENoM9faK,0.9010294117647061,0.9476923076923077,0.804,0.7953846153846155,0.9483076923076923,0.8984615384615384,0.9267692307692307,0.9353846153846155,0.015384615384615385
EWUUeFYp,0.9103101424979044,0.951505016722408,0.9932942162615256,0.31978206202849957,0.03143336127409891,0.0,0.8218776194467728,0.05909471919530594,0.25565800502933783
Eet2wW3x,1.0,0.9836065573770492,0.9836065573770492,0.9836065573770492,1.0,1.0,1.0,0.9836065573770492,0.9836065573770492
EkMAR28T,0.9937106918238994,0.9559674027339654,0.9980283911671926,0.9030398322851155,0.0,0.0,0.8183491062039944,0.6501051524710816,0.17875920084121977
FiFgt4a6,0.9523809523809523,1.0,0.7619047619047619,1.0,1.0,0.9523809523809523,0.9523809523809523,0.8,0.9523809523809523
FnscKwQQ,0.9603711790393016,0.9853711790393016,0.9795206971677562,0.7279475982532755,0.0,0.8210698689956347,0.8984352256186312,0.9771834061135375,0.3947598253275109
FsGU3Q4X,0.803221957040577,0.9624788494077827,0.9581863979848863,0.3811649659863949,0.19353741496598653,0.5026785714285724,0.6391156462585017,0.7453660436137131,0.26892006802721097
GW7i2xbM,1.0,1.0,1.0,0.9117647058823529,1.0,1.0,1.0,1.0,0.967741935483871
IPm0MkgQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949757996632995
J6buHXQ4,0.6985839843749999,0.9546126471393375,0.951444018614837,0.6278760656338802,0.8975499589378592,0.8939570216260606,0.9404804270462633,0.9550369559266355,0.6810750918070154
JPIU6gjr,0.989247311827957,0.9959677419354839,0.9979838709677419,0.8807123655913977,0.24563172043010753,0.9709341397849464,0.9583333333333334,0.0,0.03024193548387097
KYwdv07B,0.99269889224572,0.966012084592145,0.9707955689828801,0.9919436052366566,0.1593655589123867,0.0,0.9400805639476334,0.0,0.0
KpewWz3R,0.9620000000000001,0.9861818181818183,0.9620000000000001,0.9493333333333331,0.9620000000000001,0.8986666666666667,0.8986666666666667,0.9470303030303031,0.8986666666666667
LYeb3G3s,0.9807692307692307,1.0,1.0,0.9807692307692307,1.0,0.9807692307692307,1.0,1.0,0.8461538461538461
M66HZlWT,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,0.8947368421052632,0.8947368421052632,1.0
NNaGgwE5,0.9113964686998394,0.9887640449438202,0.96661316211878,0.9887640449438202,0.9887640449438202,0.8760032102728731,0.9776886035313003,0.9666131621187802,0.8613964686998394
NlWTPen5,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0
OayFbGlG,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0
